iter	Passed	Remaining
0	1	182
1	3	167
2	4	155
3	6	146
4	7	147
5	9	144
6	10	141
7	12	144
8	13	141
9	15	137
10	16	136
11	18	134
12	19	132
13	21	132
14	23	130
15	24	127
16	25	125
17	27	124
18	28	122
19	30	121
20	31	118
21	32	116
22	34	115
23	36	114
24	37	113
25	39	112
26	41	110
27	42	109
28	44	107
29	45	106
30	46	104
31	48	103
32	50	102
33	51	100
34	53	99
35	54	97
36	56	95
37	57	94
38	59	92
39	60	91
40	62	90
41	63	87
42	64	86
43	66	84
44	67	82
45	69	81
46	70	80
47	72	78
48	73	76
49	75	75
50	77	74
51	79	73
52	80	71
53	82	69
54	83	67
55	84	66
56	86	64
57	87	63
58	89	62
59	91	61
60	93	59
61	94	58
62	96	56
63	97	54
64	99	53
65	100	51
66	102	50
67	104	48
68	105	47
69	106	45
70	108	44
71	109	42
72	111	41
73	112	39
74	114	38
75	115	36
76	117	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	126	25
83	127	24
84	128	22
85	130	21
86	132	19
87	133	18
88	135	16
89	136	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	143	5
96	144	4
97	147	3
98	149	1
99	151	0
